ssn|cc_num|first|last|gender|street|city|state|zip|lat|long|city_pop|job|dob|acct_num|profile|trans_num|trans_date|trans_time|unix_time|category|amt|is_fraud|merchant|merch_lat|merch_long
865-60-1790|4526105370923009|Joel|Pacheco|M|007 Escobar Village Apt. 894|Pitman|PA|17964|40.7049|-76.5233|798|Surveyor, planning and development|1961-08-01|359537624411|adults_50up_male_rural.json|79fc4fa0f0cd9659311b2d49cfe4a4fc|2024-03-05|03:40:00|1709628000|grocery_pos|367.25|1|fraud_O'Keefe-Hudson|40.526221|-76.021994
865-60-1790|4526105370923009|Joel|Pacheco|M|007 Escobar Village Apt. 894|Pitman|PA|17964|40.7049|-76.5233|798|Surveyor, planning and development|1961-08-01|359537624411|adults_50up_male_rural.json|49b27f2afa61b46b0b32f7788e36b153|2024-03-05|03:20:14|1709626814|grocery_pos|333.74|1|fraud_Auer-Mosciski|40.757439|-75.555201
865-60-1790|4526105370923009|Joel|Pacheco|M|007 Escobar Village Apt. 894|Pitman|PA|17964|40.7049|-76.5233|798|Surveyor, planning and development|1961-08-01|359537624411|adults_50up_male_rural.json|31be259a3847db1be7fcfd13fd25d8ae|2024-03-06|23:13:54|1709784834|shopping_net|285.51|1|fraud_Reichert, Huels and Hoppe|41.348795|-77.280171
865-60-1790|4526105370923009|Joel|Pacheco|M|007 Escobar Village Apt. 894|Pitman|PA|17964|40.7049|-76.5233|798|Surveyor, planning and development|1961-08-01|359537624411|adults_50up_male_rural.json|51d314e70aaf8232a2bca4890521b2bc|2024-03-06|22:37:34|1709782654|shopping_net|819.97|1|fraud_Stanton, Jakubowski and Baumbach|40.473713|-76.247150
865-60-1790|4526105370923009|Joel|Pacheco|M|007 Escobar Village Apt. 894|Pitman|PA|17964|40.7049|-76.5233|798|Surveyor, planning and development|1961-08-01|359537624411|adults_50up_male_rural.json|6036ba37cc66f5d9490889b44497a50b|2024-03-06|23:10:12|1709784612|personal_care|962.90|1|fraud_Bins-Howell|40.959657|-76.087732
865-60-1790|4526105370923009|Joel|Pacheco|M|007 Escobar Village Apt. 894|Pitman|PA|17964|40.7049|-76.5233|798|Surveyor, planning and development|1961-08-01|359537624411|adults_50up_male_rural.json|2217beb10332d4b5f35422a828579fb2|2024-03-06|23:23:32|1709785412|shopping_net|1007.67|1|fraud_Baumbach, Feeney and Morar|41.361840|-77.212219
865-60-1790|4526105370923009|Joel|Pacheco|M|007 Escobar Village Apt. 894|Pitman|PA|17964|40.7049|-76.5233|798|Surveyor, planning and development|1961-08-01|359537624411|adults_50up_male_rural.json|b2ba8e139f98faafb95490c667bab661|2024-03-06|22:24:47|1709781887|shopping_net|898.08|1|fraud_Gerlach Inc|40.531820|-75.994146
865-60-1790|4526105370923009|Joel|Pacheco|M|007 Escobar Village Apt. 894|Pitman|PA|17964|40.7049|-76.5233|798|Surveyor, planning and development|1961-08-01|359537624411|adults_50up_male_rural.json|986ea1820e9cf8c61f7c0436e78006f3|2024-03-05|23:29:37|1709699377|grocery_pos|977.18|1|fraud_O'Keefe-Hudson|41.085456|-76.650576
865-60-1790|4526105370923009|Joel|Pacheco|M|007 Escobar Village Apt. 894|Pitman|PA|17964|40.7049|-76.5233|798|Surveyor, planning and development|1961-08-01|359537624411|adults_50up_male_rural.json|b1a7575105893f184178c456a560aa78|2024-03-06|22:54:18|1709783658|personal_care|48.87|1|fraud_Yost-Rogahn|40.182372|-76.509814
865-60-1790|4526105370923009|Joel|Pacheco|M|007 Escobar Village Apt. 894|Pitman|PA|17964|40.7049|-76.5233|798|Surveyor, planning and development|1961-08-01|359537624411|adults_50up_male_rural.json|fedd94fa7d5a3ae324e96b2b0988698c|2024-03-06|22:00:00|1709780400|misc_net|49.33|1|fraud_Bednar Group|40.338628|-76.271948
